Date,U1
"24/06/20" "13:00:16",-2.96062
,-2.90711
,-2.99866
,-2.92653
,-3.0296
,-2.96394
,-3.07064
,-3.0045
,-3.08627
,-3.01871
,-3.09243
,-3.03481
,-3.13
,-3.01208
,-3.09543
,-3.00735
,-3.08201
,-3.00008
,-3.06322
,-3.00056
,-3.04207
,-2.98762
,-3.04192
,-2.97467
,-3.09574
,-2.98983
,-3.312
,-3.02929
,-3.37435
,-3.27585
,-3.41854
,-3.34641
,-3.46479
,-3.39708
,-3.50599
,-3.44869
,-3.53504
,-3.48184
,-3.56803
,-3.49621
,-3.59344
,-3.53946
,-3.62627
,-3.56708
,-3.64474
,-3.59502
,-3.72209
,-3.59849
,-3.71704
,-3.63101
,-3.77339
,-3.63732
,-3.83574
,-3.59849
,-3.85279
,-3.61191
,-3.77891
,-3.56534
,-3.68689
,-3.5865
,-3.68799
,-3.58018
,-3.673
,-3.52383
,-3.65185
,-3.54798
,-3.73109
,-3.52367
,-3.7172
,-3.5071
,-3.8179
,-3.59502
,-3.80606
,-3.56424
,-3.7876
,-3.64885
,-3.91956
,-3.61901
,-3.90109
,-3.69715
,-3.91956
,-3.69573
,-3.92051
,-3.70409
,-3.87426
,-3.79943
,-3.91435
,-3.79454
,-3.94908
,-3.73188
,-3.94087
,-3.71672
,-3.9314
,-3.69336
,-3.96091
,-3.70867
,-3.96407
,-3.7333
,-3.99769
,-3.7273
,-3.97828
,-3.71546
,-3.96944
,-3.67994
,-3.88152
,-3.65705
,-3.83748
,-3.65579
,-3.84395
,-3.61365
,-3.77213
,-3.57529
,-3.71735
,-3.53188
,-3.65453
,-3.52541
,-3.60512
,-3.48437
,-3.56313
,-3.47853
,-3.50631
,-3.42912
,-3.49179
,-3.38098
,-3.46985
,-3.3311
,-3.41444
,-3.29558
,-3.35193
,-3.26843
,-3.3161
,-3.22802
,-3.26654
,-3.18982
,-3.22928
,-3.12005
,-3.19108
,-3.0839
,-3.15951
,-3.05423
,-3.11705
,-3.04192
,-3.11011
,-3.02297
,-3.08501
,-3.00529
,-3.08075
,-2.99645
,-3.08596
,-2.9884
,-3.05691
,-2.99188
,-3.05328
,-2.99472
,-3.03828
,-2.97767
,-3.03986
,-2.95431
,-3.0315
,-2.95826
,-3.00798
,-2.93852
,-2.99961
,-2.92495
,-2.9641
,-2.91895
,-2.9682
,-2.89733
,-2.95478
,-2.85565
,-2.88927
,-2.82061
,-2.87144
,-2.8094
,-2.84729
,-2.76931
,-2.79741
,-2.69528
,-2.78162
,-2.68739
,-2.78273
,-2.65597
,-2.68297
,-2.59757
,-2.65739
,-2.56379
,-2.61256
,-2.51675
,-2.56647
,-2.4544
,-2.52212
,-2.44824
,-2.51312
,-2.36553
,-2.46324
,-2.33128
,-2.37658
,-2.31881
,-2.38794
,-2.24051
,-2.34027
,-2.20279
,-2.27414
,-2.18827
,-2.23704
,-2.10824
,-2.19
,-2.0563
,-2.12749
,-2.04036
,-2.07446
,-1.95291
,-2.03152
,-1.8994
,-1.93839
,-1.81369
,-1.82158
,-1.57455
,-1.58228
,-1.43643
,-1.43943
,-1.27242
,-1.3605
,-1.12183
,-1.24575
,-1.0115
,-1.0568
,-0.66833
,-0.71553
,-0.53684
,-0.57694
,-0.44198
,-0.46108
,-0.32643
,-0.364
,-0.2816
,-0.29091
,-0.2262
,-0.23014
,-0.17048
,-0.20536
,-0.12517
,-0.16811
,-0.07261
,-0.1127
,-0.02794
,-0.0584
,0.0382
,-0.00031
,0.08871
,0.04483
,0.15075
,0.12928
,0.21783
,0.18705
,0.26503
,0.23883
,0.3247
,0.30181
,0.39794
,0.38058
,0.47134
,0.45966
,0.54285
,0.52027
,0.6153
,0.58799
,0.68886
,0.66329
,0.76904
,0.74584
,0.82792
,0.81135
,0.91269
,0.88459
,0.95389
,0.94363
,1.02097
,0.99145
,1.06312
,1.02997
,1.1201
,1.06975
,1.16335
,1.11805
,1.19682
,1.16067
,1.24717
,1.1995
,1.3141
,1.25648
,1.34125
,1.29705
,1.4006
,1.35356
,1.4358
,1.39397
,1.47905
,1.4287
,1.52135
,1.48726
,1.56839
,1.53446
,1.61275
,1.57518
,1.65663
,1.62838
,1.69688
,1.66263
,1.7384
,1.71819
,1.78354
,1.72261
,1.78133
,1.68852
,1.77376
,1.67131
,1.73366
,1.71172
,1.82774
,1.76413
,1.9024
,1.86815
,1.97864
,1.9597
,2.05757
,2.05268
,2.15623
,2.13728
,2.23547
,2.20974
,2.28677
,2.25962
,2.31344
,2.30318
,2.36948
,2.32591
,2.40689
,2.3799
,2.45314
,2.42552
,2.51407
,2.49355
,2.58147
,2.55795
,2.66655
,2.65014
,2.73443
,2.71059
,2.81083
,2.78825
,2.87791
,2.85013
,2.90854
,2.87776
,2.93411
,2.8978
,2.95747
,2.92811
,2.99535
,2.954
,3.00088
,2.96205
,3.02392
,2.9813
,3.03513
,2.9903
,3.04729
,3.01114
,3.06228
,3.02645
,3.08659
,3.04902
,3.10743
,3.08059
,3.1281
,3.09496
,3.14878
,3.11279
,3.17735
,3.13395
,3.2004
,3.16141
,3.23655
,3.18256
,3.23055
,3.19614
,3.26954
,3.22045
,3.26922
,3.22755
,3.29274
,3.24539
,3.30332
,3.25517
,3.31168
,3.2738
,3.33252
,3.27885
,3.34925
,3.29858
,3.37293
,3.32431
,3.3925
,3.35525
,3.42123
,3.39108
,3.4719
,3.44759
,3.55619
,3.52052
,3.62328
,3.58271
,3.64553
,3.60749
,3.73835
,3.60244
,3.73156
,3.66669
,3.77071
,3.69778
,3.80828
,3.73772
,3.84537
,3.74893
,3.86589
,3.57545
,3.80812
,3.56835
,3.64254
,3.53836
,3.64632
,3.53204
,3.61712
,3.50978
,3.60765
,3.47758
,3.61554
,3.46117
,3.59834
,3.4629
,3.54988
,3.43544
,3.53678
,3.42044
,3.50631
,3.3925
,3.49447
,3.39298
,3.45943
,3.37214
,3.44349
,3.32605
,3.43544
,3.33284
,3.42186
,3.22676
,3.4116
,3.20008
,3.34546
,3.14736
,3.37009
,3.13
,3.29369
,3.07428
,3.28374
,3.07144
,3.21034
,3.08848
,3.22597
,3.09511
,3.1824
,3.09843
,3.19882
,3.0828
,3.18256
,3.09054
,3.16188
,3.03261
,3.14294
,3.02392
,3.0989
,3.00593
,3.0929
,2.99567
,3.0787
,2.97531
,3.08012
,2.9581
,3.05376
,2.94689
,3.03008
,2.92716
,3.00703
,2.92811
,2.98494
,2.92669
,2.96836
,2.90159
,2.97373
,2.8675
,2.95052
,2.81967
,2.90554
,2.77673
,2.86765
,2.73885
,2.8334
,2.73506
,2.7922
,2.68534
,2.77421
,2.65329
,2.72511
,2.60846
,2.70791
,2.56979
,2.68502
,2.56616
,2.66245
,2.53238
,2.61494
,2.53554
,2.60878
,2.51786
,2.58763
,2.51944
,2.58921
,2.5117
,2.57611
,2.48771
,2.56095
,2.48582
,2.54817
,2.46514
,2.55622
,2.43641
,2.54217
,2.41841
,2.54154
,2.41099
,2.51644
,2.39284
,2.49102
,2.37595
,2.44714
,2.3316
,2.41273
,2.30792
,2.36743
,2.25883
,2.34738
,2.2241
,2.31265
,2.16885
,2.27035
,2.14518
,2.22663
,2.1024
,2.19395
,2.07399
,2.1526
,2.02647
,2.11645
,2.00943
,2.07825
,1.96396
,2.0462
,1.93618
,2.01463
,1.89672
,1.98575
