Date,U1,U2
"24/06/20" "13:48:56",-7.2898,-0.85
,-6.9407,0.86
,-7.364,-0.8
,-6.9378,1.02
,-7.3364,-0.9
,-6.876,1.1
,-7.479,-1.03
,-7.0933,0.91
,-7.5614,-0.82
,-7.0636,0.91
,-7.6813,-1.17
,-7.4256,0.89
,-7.6969,-0.95
,-7.1599,1.02
,-7.4477,-1.19
,-6.9141,0.94
,-7.2049,-0.9
,-6.736,0.99
,-7.1486,-1.03
,-6.7144,0.99
,-7.3964,-0.85
,-6.7579,0.91
,-7.7337,-0.82
,-7.1312,1.15
,-7.7074,-0.9
,-7.2028,0.86
,-7.5306,-0.88
,-7.1262,1.07
,-7.3338,-1.09
,-6.9039,1.07
,-7.2117,-0.95
,-6.8349,1.07
,-7.2233,-0.85
,-6.6729,0.96
,-6.8878,-0.98
,-5.8854,0.96
,-6.4742,-0.9
,-5.5052,0.96
,-5.932,-0.8
,-5.3405,0.96
,-6.2127,-1.14
,-5.4452,1.07
,-6.4987,-0.93
,-5.8541,1.15
,-6.8757,-1.09
,-6.0501,0.94
,-6.6866,-0.95
,-5.9691,1.02
,-6.4829,-1.11
,-5.8291,1.02
,-6.3119,-0.93
,-5.5965,0.91
,-5.9172,-0.9
,-4.5694,0.99
,-5.8641,-1.14
,-4.8051,0.91
,-5.496,-0.98
,-4.6536,0.99
,-5.4221,-1.03
,-4.2721,1.07
,-4.918,-0.88
,-3.9266,1.25
,-4.4899,-0.95
,-3.7614,1.04
,-4.171,-0.98
,-3.448,0.94
,-3.9927,-0.88
,-3.3504,1.1
,-3.6748,-0.95
,-3.1113,0.86
,-3.4922,-0.82
,-2.9542,0.86
,-3.3036,-0.85
,-2.7787,0.91
,-3.2691,-0.95
,-2.7955,0.99
,-3.192,-0.88
,-2.5911,0.86
,-3.0747,-0.95
,-2.6035,0.83
,-3.1302,-1.11
,-2.494,0.81
,-3.101,-0.95
,-2.538,0.91
,-2.9921,-0.9
,-2.5111,0.99
,-2.8953,-1.11
,-2.4411,0.86
,-2.8311,-1.17
,-2.3685,0.86
,-2.6679,-0.9
,-2.0828,0.83
,-2.6416,-0.9
,-1.8592,0.89
,-2.2293,-0.93
,-1.8378,1.04
,-2.1465,-0.95
,-1.4698,0.89
,-1.8331,-0.82
,-1.2711,0.86
,-1.6992,-1.01
,-1.0185,0.89
,-1.3856,-1.06
,-0.7967,1.12
,-1.3522,-0.77
,-0.7454,0.99
,-1.058,-0.85
,-0.4755,1.07
,-0.8812,-0.93
,-0.3997,0.81
,-0.7131,-0.95
,-0.1324,1.25
,-0.3924,-0.85
,0.2128,0.81
,-0.0937,-0.98
,1.4173,1.07
,1.1481,-0.93
,2.6233,0.94
,2.1647,-0.98
,3.2703,1.1
,2.9085,-0.85
,3.6271,0.89
,3.4308,-1.17
,4.2556,0.99
,3.9236,-1.01
,4.7363,0.89
,4.474,-0.85
,5.1315,0.96
,4.7037,-1.01
,5.1117,0.96
,4.3969,-1.09
,5.0323,1.1
,4.0304,-1.06
,4.6084,0.89
,4.018,-1.06
,4.6055,0.89
,3.9825,-1.22
,4.6589,0.99
,4.4642,-0.85
,5.1707,1.18
,4.7976,-1.03
,5.2172,1.04
,4.9202,-0.88
,5.3346,0.78
,4.7986,-1.01
,5.3312,0.83
,4.7671,-1.19
,5.2075,1.07
,4.7031,-0.93
,5.2133,0.91
,4.6676,-1.01
,5.2038,0.96
,4.8636,-0.95
,5.2551,0.99
,4.9589,-0.98
,5.3938,0.99
,4.9455,-1.32
,5.3569,1.25
,4.9589,-0.93
,5.4077,0.91
,4.8639,-0.88
,5.4343,0.94
,4.4466,-1.14
,5.3896,0.86
,4.2706,-0.82
,4.6818,0.96
,4.6211,-0.93
,5.8516,0.81
,5.4498,-0.93
,6.7745,0.81
,6.3949,-1.06
,7.0321,0.86
,6.7514,-0.93
,7.0821,1.12
,6.6964,-0.95
,7.13,0.86
,6.734,-0.95
,7.582,0.83
,7.3615,-0.98
,8.3318,1.12
,8.0706,-1.09
,8.7631,0.86
,8.4329,-0.9
,9.0846,1.07
,8.164,-1.03
,8.7128,0.91
,7.6225,-0.9
,8.4066,0.94
,7.1916,-1.01
,7.8451,1.1
,7.1379,-1.06
,7.5554,1.15
,7.0398,-0.88
,7.4773,1.15
,6.9469,-1.17
,7.4518,0.83
,6.9179,-0.85
,7.2584,0.91
,6.9158,-1.01
,7.3252,0.94
,6.9777,-0.88
,7.3534,0.91
,6.9624,-1.09
,7.3205,0.81
,6.8661,-0.9
,7.331,1.2
,6.9003,-1.06
,7.3413,0.89
,6.9992,-0.9
,7.4105,0.96
,7.2613,-0.93
,7.7375,1.07
,7.4726,-1.03
,7.9882,1.07
,7.4423,-1.03
,8.0895,0.83
,7.4247,-0.93
,8.023,0.94
,7.3413,-0.95
,7.9027,0.94
,7.2237,-0.9
,7.6478,0.86
,7.0453,-1.01
,7.623,0.91
,6.8682,-1.09
,7.4223,0.89
,6.5967,-0.93
,7.2073,1.04
,6.2752,-0.95
,6.8835,1.33
,6.2176,-1.03
,6.5759,0.94
,5.9153,-1.14
,6.568,0.78
,5.3367,-0.98
,6.3794,1.12
,4.9986,-0.9
,5.7003,0.78
,4.6332,-0.9
,5.3217,0.91
,4.7468,-0.95
,5.3222,0.94
,5.022,-0.95
,5.5806,0.81
,5.1031,-0.95
,5.8155,0.86
,5.1583,-0.9
,5.6977,1.1
,4.8934,-0.98
,5.5553,0.83
,4.6453,-0.93
,5.4151,0.91
,4.343,-0.93
,5.0754,0.81
,4.2296,-0.98
,4.7042,1.12
,4.1364,-0.8
,4.73,0.94
,3.8041,-1.09
,4.5205,0.75
,3.3724,-0.82
,4.1561,0.89
,3.2358,-1.03
,3.7486,0.89
,3.0459,-0.93
,3.5308,0.89
,2.8554,-0.88
,3.4163,0.91
,2.7349,-1.06
,3.224,0.83
,2.7896,-0.88
,3.2048,1.02
,2.758,-0.85
,3.275,0.96
,2.6746,-1.09
,3.2695,0.83
,2.6741,-1.3
,3.189,0.91
,2.5515,-1.03
,2.9488,0.86
,2.2358,-0.93
,2.8567,0.94
,2.1308,-0.82
,2.6967,0.78
,1.9179,-0.95
,2.3973,1.1
,1.7606,-1.01
,2.311,0.91
,1.6593,-1.09
,2.0684,1.12
,1.6369,-0.85
,1.9429,1.04
,1.4212,-1.01
,2.0271,1.07
,1.1457,-0.82
,1.8261,0.91
,1.0194,-0.93
,1.6125,0.99
,0.9058,-0.88
,1.3541,1.15
,0.7048,-0.88
,1.2894,0.96
,0.5974,-0.95
,1.0515,1.04
,0.4409,-0.88
,0.9663,0.94
,0.3117,-1.01
,0.7921,0.91
,0.2086,-1.03
,0.6103,0.91
,0.026,-1.01
,0.3983,0.94
,-0.2813,-0.98
,0.3864,1.02
,-1.243,-0.95
,0.2812,0.86
,-1.8855,-0.9
,-1.0049,1.15
,-2.5543,-0.95
,-1.67,0.94
,-2.9708,-0.9
,-2.1565,0.89
,-3.6311,-0.9
,-2.6174,0.94
,-4.0716,-1.03
,-3.3017,1.02
,-4.3955,-0.98
,-3.7056,0.96
,-4.4918,-0.9
,-3.8208,1.02
,-4.1345,-0.8
,-3.5641,1.04
,-3.8977,-0.98
,-3.3694,0.81
,-3.7651,-1.09
,-3.2425,0.89
,-3.8764,-1.03
,-3.4341,1.04
,-4.2429,-1.17
,-3.5464,1.02
,-4.4041,-0.93
,-3.7656,0.99
,-4.4428,-0.85
,-3.9805,1.12
,-4.501,-0.98
,-3.9692,0.91
,-4.3405,-0.93
,-3.8806,1.04
,-4.3423,-0.95
,-3.7459,0.91
,-4.3207,-1.06
,-3.9379,0.81
,-4.5033,-1.19
,-4.0029,0.94
,-4.5428,-0.98
,-3.8448,0.91
,-4.3731,-1.14
,-4.0095,1.07
,-4.481,-0.9
,-4.0584,0.99
,-4.4699,-1.11
,-4.0561,0.99
,-4.5594,-1.01
,-3.6519,0.91
,-3.8795,-0.93
,-3.3654,0.94
,-4.9603,-0.82
,-3.5872,0.86
,-6.1546,-0.95
,-4.8464,0.86
,-6.5997,-1.03
,-6.093,1.07
,-6.8063,-0.98
,-6.3877,0.91
,-6.8299,-0.82
,-6.4198,1.02
,-7.3735,-0.95
,-6.6821,1.04
,-8.2341,-0.88
,-7.2656,0.99
,-8.8643,-1.09
,-8.1168,0.75
,-9.0034,-1.01
,-8.4585,0.96
,-8.7716,-0.9
,-8.0926,0.94
,-8.3149,-0.95
,-7.82,1.23
,-7.8418,-0.82
,-7.3901,0.75
,-7.6582,-0.85
,-7.1593,0.99
,-7.419,-0.95
,-7.0488,1.04
,-7.3525,-0.98
,-6.9789,0.94
,-7.3496,-0.82
,-6.9649,0.99
,-7.3164,-1.06
,-6.9604,0.96
,-7.3577,-0.85
,-6.9084,0.7
,-7.3851,-0.9
,-6.9704,1.02
,-7.3548,-1.11
,-6.9523,0.89
,-7.3109,-0.93
,-6.9426,1.02
,-7.4853,-1.01
,-7.0609,0.99
,-7.7392,-0.88
,-7.328,0.91
,-7.7632,-0.9
,-7.3427,0.89
,-7.549,-1.35
,-7.1446,0.89
,-7.318,-0.93
,-6.7968,0.75
,-7.1399,-0.95
,-6.6747,0.83
,-7.2791,-0.95
,-6.7957,0.86
,-7.6077,-1.06
,-7.0481,0.96
,-7.7174,-0.85
,-7.2627,0.83
,-7.5453,-0.85
,-7.1259,0.94
,-7.5172,-0.93
,-6.9741,0.94
,-7.3414,-0.93
,-6.8849,0.86
,-7.2501,-0.98
,-6.786,0.96
,-6.9205,-1.03
,-6.0727,0.86
,-6.3806,-0.8
,-5.5236,0.99
,-5.8483,-1.09
,-5.1724,1.04
,-6.148,-1.17
,-5.5434,0.94
,-6.596,-0.98
,-5.7623,0.91
,-6.736,-0.95
,-6.1012,0.94
,-6.7023,-0.88
,-5.9412,0.96
,-6.601,-0.9
,-5.8967,0.89
,-6.3466,-0.88
,-5.4518,0.94
,-5.9733,-0.9
,-5.2006,0.81
,-5.7175,-0.82
,-4.6746,0.89
,-5.7007,-1.03
,-4.7262,0.91
,-5.4581,-1.06
,-4.366,0.86
,-4.7525,-0.82
,-4.0626,0.94
,-4.4686,-0.9
,-3.6204,0.94
,-4.1987,-0.9
,-3.4491,0.83
,-3.9308,-1.01
,-3.3999,0.91
,-3.7151,-1.03
,-3.1765,0.94
,-3.6385,-1.11
,-3.0068,0.94
,-3.4614,-0.98
,-2.8771,0.89
,-3.2489,-0.9
,-2.7942,0.75
,-3.2286,-0.9
,-2.6861,0.94
,-3.0113,-0.85
,-2.6543,0.91
,-3.1084,-1.09
,-2.599,0.89
,-2.9526,-0.93
,-2.5048,0.91
,-3.05,-1.11
,-2.4046,0.86
,-2.8124,-1.03
,-2.4177,1.1
,-2.8821,-0.93
,-2.3056,0.99
,-2.6856,-1.14
,-2.1815,0.83
,-2.574,-0.93
,-2.0754,0.99
,-2.3212,-1.03
,-1.8581,0.83
,-2.1528,-1.01
,-1.5995,0.83
,-1.9402,-0.98
,-1.3958,1.04
,-1.5937,-0.95
,-1.1751,0.91
,-1.485,-1.01
,-0.9678,0.99
,-1.2853,-0.95
,-0.7386,0.94
,-1.1817,-1.09
,-0.5868,0.91
,-1.0204,-0.98
,-0.4466,1.12
,-0.8078,-1.03
,-0.2408,1.04
,-0.6021,-1.03
,0.2057,0.94
,-0.1714,-1.24
,1.1594,0.86
,0.986,-1.09
,2.4042,1.02
,2.1242,-1.06
,3.0711,0.89
,2.9959,-1.14
,3.4705,1.12
,3.2363,-0.82
,4.3619,0.78
,3.9441,-1.06
,4.7894,0.91
,4.5305,-0.95
,5.2328,0.89
,4.8799,-0.95
,5.3154,0.89
,4.4566,-1.17
,5.1112,0.91
,4.0388,-1.03
,4.9284,1.07
,3.9759,-0.95
,4.5868,0.94
,3.9175,-0.98
,4.7221,0.83
,4.2869,-1.06
,4.9933,0.86
,4.7042,-0.98
,5.2378,0.86
,4.9718,-0.77
,5.4051,1.02
,4.8876,-0.98
,5.3577,0.91
,4.8221,-0.88
,5.2951,1.07
,4.7308,-0.98
,5.1191,0.91
,4.6729,-1.14
,5.1496,0.91
,4.8497,-0.88
,5.3067,1.23
,4.9831,-1.01
,5.4501,0.81
,4.9973,-1.03
,5.4164,1.04
,4.9539,-1.01
,5.3622,1.02
,4.9662,-0.9
,5.4401,0.78
,4.5787,-1.03
,5.403,1.1
,4.1854,-1.03
,4.8581,0.83
,4.666,-0.98
,5.4746,0.91
,5.4372,-1.03
,6.5146,0.83
,6.3473,-1.06
,7.0161,0.91
,6.6951,-1.01
,7.0808,1.02
,6.7006,-0.88
,7.1153,0.99
,6.644,-1.19
,7.5723,0.78
,7.3642,-0.95
,8.3321,1.04
,8.1129,-0.95
,8.8915,0.86
,8.5252,-0.88
,8.9772,0.89
,8.2582,-1.17
,8.7602,1.12
,7.7714,-1.01
,8.456,0.86
,7.3894,-0.88
,7.8467,0.81
,7.1652,-0.82
,7.5867,0.96
,7.0619,-0.98
,7.4847,1.02
,6.9848,-0.95
,7.5078,1.02
