Date,U1,U3,Aux1
"24/06/20" "14:05:59",0.2914,-0.47279,0
,0.38547,-0.34492,0
,0.23683,-0.44138,0
,0.35706,-0.28115,0
,0.20723,-0.42149,0
,0.33682,-0.2169,0
,0.17278,-0.36276,0
,0.26488,-0.16212,0
,0.12571,-0.35692,0
,0.23205,-0.18895,0
,0.08665,-0.3203,0
,0.22167,-0.13828,0
,0.03926,-0.3012,0
,0.18328,-0.07513,0
,0.02829,-0.2712,0
,0.12674,-0.11571,0
,0.00453,-0.23505,0
,0.10874,-0.06456,0
,-0.04633,-0.22337,0
,0.08077,-0.06108,0
,-0.1202,-0.19843,0
,0.03484,-0.05051,0
,-0.28869,-0.19195,0
,-0.05264,-0.0423,0
,-0.49119,-0.12044,0
,-0.2789,0.37888,0
,-0.60818,0.21975,0
,-0.39254,0.574,0
,-0.65885,0.54306,0
,-0.55349,0.75618,0
,-0.79715,0.6482,0
,-0.62128,0.79169,0
,-0.83641,0.67803,0
,-0.70896,0.85026,0
,-0.85271,0.77465,0
,-0.74775,0.91846,0
,-0.83117,0.82532,0
,-0.72092,0.93172,0
,-0.77324,0.69114,0
,-0.6302,0.87284,0
,-0.73556,0.62973,0
,-0.58672,0.87378,0
,-0.71472,0.63099,0
,-0.61091,0.84032,0
,-0.74511,0.63873,0
,-0.63553,0.81774,0
,-0.79447,0.71718,0
,-0.66003,0.86005,0
,-0.81053,0.75696,0
,-0.72502,0.9093,0
,-0.81313,0.81001,0
,-0.70304,0.91609,0
,-0.80761,0.79043,0
,-0.7094,0.90788,0
,-0.77928,0.74544,0
,-0.68047,0.86968,0
,-0.76322,0.75223,0
,-0.68351,0.86321,0
,-0.79443,0.8078,0
,-0.70186,0.91704,0
,-0.8202,0.85342,0
,-0.72782,0.98271,0
,-0.82118,0.89241,0
,-0.73591,0.96582,0
,-0.81179,0.88673,0
,-0.73982,0.98397,0
,-0.79917,0.86794,0
,-0.72932,0.97355,0
,-0.7966,0.88199,0
,-0.69523,0.96503,0
,-0.80205,0.86684,0
,-0.62831,0.99297,0
,-0.68288,0.68908,0
,-0.57318,0.91183,0
,-0.81669,0.67977,0
,-0.62223,1.10442,0
,-0.97184,1.0015,0
,-0.75122,1.64321,0
,-1.08741,1.62127,0
,-0.9179,1.92295,0
,-1.09191,1.89879,0
,-1.00893,2.02729,0
,-1.06705,1.922,0
,-0.99042,2.00803,0
,-1.09953,1.91063,0
,-0.98328,2.07197,0
,-1.1859,2.04103,0
,-1.03667,2.2813,0
,-1.24367,2.25999,0
,-1.14897,2.39085,0
,-1.25598,2.19858,0
,-1.17801,2.3858,0
,-1.22575,2.04829,0
,-1.12837,2.22178,0
,-1.1747,2.00772,0
,-1.05462,2.08981,0
,-1.09688,1.97141,0
,-1.00356,2.06234,0
,-1.05446,1.84338,0
,-0.9836,2.00725,0
,-1.03659,1.78324,0
,-0.95286,1.88869,0
