Date,U1,U3,Torq1
"24/06/20" "15:57:17",-0.53777,1.3106,-0.0006
,-0.43786,1.50099,0.0023
,-0.57324,1.36823,-0.0006
,-0.43577,1.58055,0.0023
,-0.55402,1.46531,-0.0015
,-0.46284,1.88349,0.0032
,-0.54313,1.83487,-0.0015
,-0.45009,1.98895,0.0023
,-0.59467,1.66801,-0.0006
,-0.48493,1.93906,0.0023
,-0.56397,1.65222,-0.0015
,-0.47021,1.77851,0.0013
,-0.52853,1.6047,-0.0015
,-0.42085,1.73652,0.0023
,-0.54262,1.50604,-0.0015
,-0.43407,1.71347,0.0013
,-0.51674,1.46405,-0.0015
,-0.39548,1.65901,0.0013
,-0.45005,1.38227,-0.0015
,-0.34856,1.54109,0.0023
,-0.41758,1.21668,-0.0025
,-0.31546,1.4279,0.0023
,-0.40471,1.03892,-0.0015
,-0.29442,1.2855,0.0042
,-0.36624,0.89384,-0.0006
,-0.26641,1.12227,0.0023
,-0.34442,0.80134,-0.0015
,-0.27099,0.98067,0.0023
,-0.33065,0.69904,-0.0015
,-0.25982,0.89874,0.0023
,-0.32611,0.68436,-0.0006
,-0.22849,0.82802,0.0023
,-0.31676,0.61553,-0.0015
,-0.23441,0.79281,0.0013
,-0.32962,0.61111,-0.0015
,-0.23662,0.7625,0.0023
,-0.30295,0.66763,-0.0015
,-0.19834,0.78855,0.0023
,-0.27016,0.67552,-0.0025
,-0.17289,0.85059,0.0023
,-0.2507,0.71199,-0.0025
,-0.14586,0.88232,0.0023
,-0.20789,0.74766,-0.0015
,-0.12483,0.89574,0.0013
,-0.18714,0.76155,-0.0015
,-0.09247,0.95036,0.0023
,-0.17486,0.78539,-0.0006
,-0.09263,0.95589,0.0023
,-0.15379,0.7704,-0.0015
,-0.07484,0.94294,0.0023
,-0.14859,0.68878,-0.0025
,-0.04686,0.91137,0.0023
,-0.14641,0.64095,-0.0006
,-0.04919,0.83575,0.0032
,-0.12858,0.5707,-0.0006
,-0.04891,0.77608,0.0023
,-0.09847,0.4995,-0.0015
,-0.01454,0.67299,0.0013
,-0.08371,0.44835,-0.0006
,0.00897,0.6299,0.0023
,-0.06702,0.39168,-0.0015
,0.0272,0.57701,0.0023
,-0.04319,0.35332,-0.0015
,0.03963,0.49256,0.0023
,-0.03498,0.30059,-0.0015
,0.06209,0.44756,0.0032
,-0.01999,0.24834,-0.0025
,0.0802,0.42388,0.0032
,0.01454,0.22229,-0.0006
,0.10368,0.39957,0.0032
,0.03166,0.12394,-0.0015
,0.12029,0.29554,0.0013
,0.04906,0.05543,-0.0015
,0.2477,0.24581,0.0023
,0.23192,-0.35896,-0.0025
,0.39425,0.21503,0.0023
,0.35041,-0.83208,-0.0015
,0.47163,-0.3427,0.0023
,0.37985,-1.11402,-0.0015
,0.48935,-0.81929,0.0032
,0.40092,-1.30299,-0.0025
,0.52285,-0.99547,0.0013
,0.45068,-1.40812,-0.0015
,0.6136,-1.02215,0.0032
,0.47467,-1.40654,-0.0015
,0.6398,-1.08229,0.0013
,0.45734,-1.4337,-0.0015
,0.62552,-1.16517,0.0023
,0.41591,-1.3644,-0.0006
,0.59462,-1.12444,0.0032
,0.41512,-1.33519,-0.0015
,0.54585,-1.05451,0.0032
,0.42424,-1.29746,-0.0015
,0.52825,-1.09761,0.0032
,0.46275,-1.2842,-0.0015
,0.54072,-1.13928,0.0013
,0.48082,-1.36487,-0.0025
,0.61254,-1.14812,0.0023
,0.51622,-1.59014,-0.0006
,0.65038,-1.33156,0.0023
,0.50935,-1.68439,-0.0015
,0.66683,-1.37797,0.0023
,0.52344,-1.65928,-0.0015
,0.64541,-1.31861,0.0032
,0.47605,-1.52984,-0.0006
,0.60488,-1.17922,0.0023
,0.45932,-1.38397,-0.0015
,0.57237,-1.17748,0.0032
,0.4605,-1.49416,-0.0015
,0.56609,-1.18696,0.0023
,0.45573,-1.59125,-0.0006
,0.62477,-1.23763,0.0023
,0.45194,-1.6304,-0.0015
,0.6198,-1.30472,0.0032
,0.48303,-1.56757,-0.0006
,0.61506,-1.33582,0.0023
,0.49029,-1.55478,-0.0015
,0.61198,-1.31767,0.0023
,0.45841,-1.53078,-0.0015
,0.58716,-1.28246,0.0023
,0.43837,-1.47458,-0.0015
,0.56349,-1.17922,0.0023
,0.30503,-1.29099,-0.0025
,0.51267,-1.09792,0.0032
,0.31738,-1.1246,-0.0015
,0.45328,-0.87912,0.0023
,0.43134,-1.52778,-0.0015
,0.7199,-0.94385,0.0023
,0.68684,-2.06642,-0.0006
,0.97066,-1.48043,0.0023
,0.92004,-2.18465,-0.0034
,1.0499,-2.03011,0.0013
,0.9013,-2.18481,-0.0015
,1.03092,-2.00437,0.0013
,0.85702,-2.05552,-0.0015
,0.95575,-1.88598,0.0023
,0.87529,-2.14803,-0.0015
,0.98811,-1.9065,0.0023
,0.96364,-2.45965,-0.0025
,1.14882,-2.11993,0.0032
,1.10601,-2.53148,-0.0015
,1.23752,-2.39509,0.0032
,1.15139,-2.53006,-0.0025
,1.27004,-2.3643,0.0023
,1.11074,-2.40882,-0.0006
,1.2114,-2.22428,0.0013
,0.9827,-2.25822,-0.0015
,1.14302,-2.03137,0.0023
,0.92698,-2.08315,-0.0015
,1.0276,-1.92165,0.0023
,0.91523,-1.97217,-0.0015
,0.99181,-1.85882,0.0023
,0.90939,-1.94691,-0.0006
,0.98961,-1.8623,0.0032
,0.90473,-1.90824,-0.0015
,0.98424,-1.83925,0.0023
,0.89427,-1.90382,-0.0015
