Date,U1,U3,Speed1
"24/06/20" "16:05:33",0.44693,-0.80982,0
,0.62059,-0.50941,0
,0.4347,-0.74936,0
,0.52616,-0.55219,0
,0.35818,-0.72694,0
,0.50568,-0.55219,0
,0.31896,-0.75488,0
,0.46299,-0.5353,0
,0.29446,-0.74983,0
,0.42045,-0.5806,0
,0.26084,-0.84644,0
,0.42617,-0.61075,0
,0.25492,-0.86318,0
,0.41686,-0.62938,0
,0.25307,-0.81708,0
,0.39942,-0.6248,0
,0.30203,-0.73531,0
,0.42207,-0.52519,0
,0.34343,-0.62165,0
,0.42791,-0.50151,0
,0.34694,-0.58265,0
,0.45557,-0.44073,0
,0.35669,-0.54729,0
,0.44661,-0.39274,0
,0.35088,-0.50325,0
,0.43331,-0.38375,0
,0.31687,-0.46805,0
,0.4444,-0.24656,0
,0.26147,-0.4491,0
,0.42377,-0.2292,0
,0.21495,-0.40237,0
,0.38573,-0.13622,0
,0.19877,-0.412,0
,0.35732,-0.12438,0
,0.12711,-0.41832,0
,0.29856,-0.12848,0
,0.08178,-0.32786,0
,0.23539,-0.12706,0
,0.06169,-0.30923,0
,0.21365,-0.10859,0
,0.04062,-0.2944,0
,0.17016,-0.06723,0
,-0.00081,-0.28887,0
,0.16271,-0.07228,0
,-0.01999,-0.26993,0
,0.11188,-0.0456,0
,-0.07389,-0.2423,0
,0.08063,-0.08144,0
,-0.11027,-0.23125,0
,0.01679,-0.07323,0
,-0.34876,-0.2322,0
,-0.0016,-0.03282,0
,-0.64896,-0.23741,0
,-0.32055,0.12205,0
,-0.75949,0.10595,0
,-0.53457,0.56722,0
,-0.79792,0.41757,0
,-0.67011,0.75713,0
,-0.91357,0.57259,0
,-0.72295,0.7644,0
,-0.96609,0.61853,0
,-0.83075,0.7655,0
,-0.9915,0.72256,0
,-0.89787,0.88343,0
,-0.9784,0.7644,0
,-0.84728,0.93536,0
,-0.93997,0.63763,0
,-0.81126,0.83496,0
,-0.85115,0.58601,0
,-0.69517,0.79407,0
,-0.83051,0.56675,0
,-0.7117,0.77703,0
,-0.88868,0.59264,0
,-0.72161,0.7805,0
,-0.91405,0.69494,0
,-0.80613,0.82723,0
,-0.96057,0.76124,0
,-0.85222,0.88248,0
,-0.95962,0.76282,0
,-0.84223,0.88611,0
,-0.92356,0.74924,0
,-0.8317,0.86164,0
,-0.88954,0.71893,0
,-0.77357,0.84128,0
,-0.85971,0.70883,0
,-0.78281,0.81728,0
,-0.90351,0.7363,0
,-0.78454,0.8569,0
,-0.91361,0.77229,0
,-0.81303,0.89826,0
,-0.91531,0.80244,0
,-0.81264,0.90647,0
,-0.91314,0.80181,0
,-0.82045,0.88611,0
,-0.89448,0.80639,0
,-0.78229,0.89779,0
,-0.90584,0.7745,0
,-0.81682,0.8809,0
,-0.85119,0.69336,0
,-0.67572,0.84001,0
,-0.77468,0.45498,0
,-0.48237,0.91831,0
,-0.88086,0.53297,0
,-0.64245,1.06355,0
,-1.03179,0.96015,0
,-0.80443,1.69927,0
,-1.09658,1.66911,0
,-0.96353,1.96463,0
,-1.08632,1.92138,0
,-0.98144,2.00836,0
,-1.01727,1.7913,0
,-0.93318,1.98452,0
,-1.04339,1.79351,0
,-0.93149,1.95627,0
,-1.16639,1.92754,0
,-0.9949,2.30483,0
,-1.2981,2.25542,0
,-1.13139,2.46743,0
,-1.32868,2.37634,0
,-1.2266,2.50058,0
,-1.30804,2.22353,0
,-1.20241,2.41312,0
,-1.24049,2.10687,0
,-1.10321,2.26473,0
,-1.14153,1.99526,0
,-1.02674,2.1315,0
,-1.0806,1.86692,0
,-0.98172,2.0221,0
