Date,U1,Aux1
"24/06/20" "16:19:30",0.43454,0
,0.73671,0
,0.41465,0
,0.61427,0
,0.39342,0
,0.51701,0
,0.31687,0
,0.50888,0
,0.32038,0
,0.45928,0
,0.26802,0
,0.38644,0
,0.25484,0
,0.37851,0
,0.29722,0
,0.40396,0
,0.31948,0
,0.46847,0
,0.36256,0
,0.49684,0
,0.35313,0
,0.47767,0
,0.37622,0
,0.53468,0
,0.3538,0
,0.51969,0
,0.32946,0
,0.45719,0
,0.33029,0
,0.45928,0
,0.26684,0
,0.41327,0
,0.21724,0
,0.36541,0
,0.16184,0
,0.31596,0
,0.13745,0
,0.28223,0
,0.07491,0
,0.24821,0
,0.04614,0
,0.20299,0
,0.04603,0
,0.19293,0
,0.00412,0
,0.12786,0
,-0.07097,0
,0.08604,0
,-0.10869,0
,0.04224,0
,-0.48327,0
,-0.06667,0
,-0.6872,0
,-0.40657,0
,-0.79914,0
,-0.60138,0
,-0.91673,0
,-0.76075,0
,-1.00255,0
,-0.82017,0
,-1.01676,0
,-0.87392,0
,-0.94419,0
,-0.73561,0
,-0.85182,0
,-0.66127,0
,-0.80972,0
,-0.58599,0
,-0.83576,0
,-0.6039,0
,-0.81493,0
,-0.66952,0
,-0.83292,0
,-0.72326,0
,-0.89041,0
,-0.73108,0
,-0.93224,0
,-0.78387,0
,-0.96377,0
,-0.84989,0
,-1.00516,0
,-0.87546,0
,-0.9846,0
,-0.82889,0
,-0.95895,0
,-0.82345,0
,-0.88824,0
,-0.8064,0
,-0.90517,0
,-0.79224,0
,-0.92202,0
,-0.82361,0
,-0.93236,0
,-0.84342,0
,-0.92861,0
,-0.84235,0
,-0.9176,0
,-0.8272,0
,-0.8794,0
,-0.67729,0
,-0.71841,0
,-0.50194,0
,-0.8551,0
,-0.56634,0
,-0.94005,0
,-0.72149,0
,-1.09236,0
,-0.89286,0
,-1.1201,0
,-1.01206,0
,-1.06289,0
,-0.92821,0
,-1.00966,0
,-0.92285,0
,-1.15044,0
,-0.973,0
,-1.31617,0
,-1.12815,0
,-1.36411,0
,-1.26231,0
,-1.3524,0
,-1.22936,0
,-1.28835,0
,-1.14579,0
,-1.18083,0
,-1.05326,0
,-1.08041,0
,-1.01648,0
,-1.06158,0
,-1.00176,0
,-1.06391,0
,-0.9784,0
,-1.05428,0
,-0.97927,0
,-1.0353,0
,-0.96333,0
,-1.02702,0
,-0.95303,0
,-1.01088,0
,-0.95422,0
,-1.01498,0
,-0.91136,0
,-1.00097,0
,-0.923,0
,-1.04181,0
,-0.9363,0
,-1.17041,0
,-1.00851,0
,-1.19409,0
,-1.11205,0
,-1.23958,0
,-1.12495,0
,-1.2328,0
,-1.14567,0
,-1.23023,0
,-1.11446,0
,-1.16706,0
,-0.99869,0
,-1.07034,0
,-0.91409,0
,-0.95469,0
,-0.82451,0
,-0.89586,0
,-0.76584,0
,-0.8034,0
,-0.71194,0
,-0.77322,0
,-0.62493,0
,-0.76592,0
,-0.56748,0
,-0.7443,0
,-0.518,0
,-0.67864,0
,-0.47728,0
,-0.62998,0
,-0.38554,0
,-0.62331,0
,-0.34268,0
,-0.64557,0
,-0.42069,0
,-0.65524,0
,-0.36225,0
,-0.61183,0
,-0.36817,0
,-0.5515,0
,-0.40203,0
,-0.56148,0
,-0.47941,0
